index,claims,text_tokens,claim_idx,claim_vector
500,[],"['भाइयों', 'इसको', 'प्रशासन', 'कहे', ',', 'कि', 'कुशासन', 'कहें', 'कि', '...', 'दुशासन', 'कहें', ',', 'यह', 'निरंकुश', 'शासन', 'और', 'हिटलर', 'शाही', 'है', 'मध्य', 'प्रदेश', 'सरकार', 'की', '@U54973484', '@U93571983', '@U67822770', '@U18179557', '@U22676804', '@U14425216', '@U59069382', '#GiveMPTETjoiningOrAllowToDie', 'https://t.co/qgWSzBtqpU']",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
501,"[{'start': 4, 'end': 31}]","['मौसम', 'विभाग', 'के', 'मुताबिक', 'अगले', '24', 'घंटे', 'में', 'पश्चिम', 'बंगाल', ',', 'सिक्किम', ',', 'ओडिशा', ',', 'बिहार', ',', 'झारखंड', ',', 'छत्तीसगढ़', ',', 'असम', ',', 'मेघालय', ',', 'मिजोरम', 'और', 'त्रिपुरा', 'में', 'भारी', 'बारिश', 'हो', 'सकती', 'है', '।', '#WeatherUpdate', 'लाइव', 'अपडेट्सः', 'https://t.co/Zn4lWf5MEY']","{4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}","[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
502,"[{'start': 0, 'end': 37}]","['योगी', 'सरकार', 'मे', '50', 'लाख', 'अधिक', 'बच्चे', 'स्कूल', 'पहुंचे', '।', '90', 'हजार', 'स्कूलों', 'को', 'कायाकल्प', 'से', 'बदला', 'गया', '।', '193', 'नए', 'इंटर', 'कॉलेज', ',', '51', 'नए', 'डिग्री', 'कॉलेज', 'और', '2', 'नए', 'विश्वविद्यालय', 'बनाने', 'की', 'प्रक्रिया', 'शुरू', 'हुई', 'है', '।', ',']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]"
503,[],"['@U45195860', '@U84700880', 'तुमलोग', 'कितने', 'भी', 'पढ़', 'लिख', 'लो', ',', 'पैसे', 'वाले', 'बन', 'जाओ', 'तुम', 'लोगों', 'की', 'जिहादी', 'मानसिकता', 'नहीं', 'जाएगी', '।']",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
504,"[{'start': 0, 'end': 39}, {'start': 45, 'end': 57}]","['दिल्ली', 'का', 'एक', ""'"", 'नमूना', ""'"", 'उत्तर', 'प्रदेश', 'आता', 'है', 'और', 'कहता', 'है', 'कि', 'यहां', 'कोविड', 'से', 'लड़ने', 'की', 'कोई', 'रणनीति', 'नहीं', 'है', '।', 'यह', 'वह', 'लोग', 'हैं', 'जिन्होंने', 'उत्तर', 'प्रदेश', 'और', 'बिहार', 'के', 'नागरिकों', 'के', 'साथ', 'दुर्व्यवहार', 'किया', '।', 'बेशर्मी', 'का', 'लबादा', 'ओढ़े', 'हुए', 'यह', 'लोग', 'उत्तर', 'प्रदेश', 'में', 'आकर', 'ऊल', '-', 'जुलूल', 'बातें', 'करते', 'हैं', '।', 'शर्मनाक', '!', 'https://t.co/sO1OvmdpnR']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
505,"[{'start': 19, 'end': 49}]","['ताहिर', 'हुसैन', 'के', 'बच्चे', 'आज', 'मुझसे', 'मिले', 'और', 'रोते', 'हुए', 'मुझसे', 'कहा', ',', 'कि', 'हमारा', 'क्या', 'क़ुसूर', 'है', '?', 'डर', 'की', 'वजह', 'से', 'आज', 'हम', 'अपने', 'ही', 'घर', 'में', 'नहीं', 'रह', 'पा', 'रहे', 'हैं', ',', 'Account', 'सीज़', 'होने', 'की', 'वजह', 'से', 'स्कूल', 'की', 'फ़ीस', 'तक', 'नहीं', 'दे', 'पा', 'रहे', '@U89430834', 'साहब', 'से', 'मेरी', 'गुज़ारिश', 'है', 'कि', 'ताहिर', 'हुसैन', 'की', 'फैमिली', 'को', 'प्रोटेक्शन', 'दी', 'जाए', '।', 'https://t.co/87OJ39PlHk']","{19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48}","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
506,[],"['@U22679918', 'सुबह', 'की', 'पहली', 'रोटी', 'गाय', 'को', 'दें', 'और', 'दूसरी', 'रोटी', 'कुत्ते', 'को', 'और', 'अगर', 'कुत्ता', 'ना', 'मिले', 'तो', 'किसी', 'कांग्रेसी', 'चमचे', 'को', 'दे', 'दें', '।']",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
507,"[{'start': 1, 'end': 7}, {'start': 9, 'end': 15}]","['‘', 'मोदी', 'ने', 'अर्थव्यवस्था', 'को', 'जर्जर', 'किया', '’', '-', 'जीडीपी', 'पर', 'क्या', 'बोले', 'विदेशी', 'अख़बार', 'https://t.co/Ri7J1ChXpN']","{1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14}","[0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0]"
508,[],"['@U91322650', '@U37453835', 'तू', 'जे', 'पता', 'भी', 'है', 'देश', 'का', 'माहौल', 'कितना', 'नाजुक', 'बन', 'चुका', 'है', 'सभी', 'तरफ', 'से', 'सरकार', 'को', 'घेर', 'रहे', 'हो', 'सालो', 'गद्दारों', 'तुमने', 'देश', 'की', 'जमीन', 'बेच', 'के', 'पैसे', 'खुद', 'ले', 'लिए', 'MC', 'देश', 'में', 'अशांति', ',', 'दंगे', 'ना', 'हो', 'इसलिए', 'और', 'देश', 'सुरक्षित', 'रहे', 'इस', 'कारण', 'PM', 'दिन', 'रात', 'मेहनत', 'कर', 'रहा', 'है', 'और', 'तुम्हारे', 'जैसे', 'भड़वे', 'साले', 'दंगे', 'करवाने', 'पर', 'है', '😠']",set(),"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
509,"[{'start': 0, 'end': 10}]","['कोरोना', 'महामारी', 'लोगों', 'के', 'दिमाग', 'पर', 'प्रभाव', 'डाल', 'रही', 'है', ',', 'इसे', 'कैसे', 'दूर', 'रखें', '?', '#IndiaFightsCorona', '|', '#COVID19', '@U35107414', '|', '@U47160520', '|', '@U38167222', 'https://t.co/23M5aDOzXu']","{0, 1, 2, 3, 4, 5, 6, 7, 8, 9}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
